vacancy_id,vacancy_main_keywords,resume_id,is_english,resume_main_keywords,edu,target
779f3a59-206a-3241-adc4-d7db504f960b,"['Java', 'разработчик', 'команда', 'Инвестиции']",74392e00-ecfb-335b-9fc1-c2652dca06e5,False,"['Java', 'Spring Boot', 'Java EE', 'SQL', 'Hibernate', 'Git', 'Docker', 'PostgreSQL', 'Linux']",relevant_high,False
779f3a59-206a-3241-adc4-d7db504f960b,"['Java', 'разработчик', 'команда', 'Инвестиции']",2b5ad5e1-1f31-3f3f-8a66-43cd89233672,False,"['ООП', 'Java', 'Java Spring Framework', 'Kotlin', 'MySQL', 'Docker', 'Linux']",relevant_high,False
779f3a59-206a-3241-adc4-d7db504f960b,"['Java', 'разработчик', 'команда', 'Инвестиции']",ea1ac51a-e16b-367a-9216-52fb64809db1,True,"['Java', 'Spring Framework', 'Hibernate ORM', 'SQL', 'Java', 'JUnit', 'REST', 'Apache Maven', 'Git', 'Docker', 'OpenShift', 'Bitbucket', 'Jira', 'Confluence', 'Camunda', 'Kafka', 'Mockito', 'WireMock', 'TeamCity']",relevant_high,False
779f3a59-206a-3241-adc4-d7db504f960b,"['Java', 'разработчик', 'команда', 'Инвестиции']",ecfc02a1-592c-3ed0-a801-1ad9ab3d30b8,True,"['Java', 'Git', 'SQL', 'HTML', 'JavaScript', 'CSS', 'MySQL', 'ООП', 'Linux', 'Spring Framework', 'XML', 'Atlassian Jira', 'jQuery', 'Apache Maven', 'Bootstrap', 'MVC', 'Node.js', 'RxJava', 'Hibernate ORM', 'Kubernetes']",relevant_high,False
779f3a59-206a-3241-adc4-d7db504f960b,"['Java', 'разработчик', 'команда', 'Инвестиции']",aff6b6bd-89c2-3b2c-ab2e-0b9f76ac367c,True,"['Java', 'Spring', 'Git', 'PostgreSQL', 'Hibernate ORM', 'BPMN', 'RabbitMQ']",relevant_high,False
779f3a59-206a-3241-adc4-d7db504f960b,"['Java', 'разработчик', 'команда', 'Инвестиции']",dc28a8cc-14d0-367a-8d87-6969f83ae793,True,"['Java', 'Git', 'SQL', 'REST', 'Hibernate ORM', 'PostgreSQL', 'Apache Maven', 'Swagger', 'JUnit', 'Atlassian Jira', 'Spring Framework', 'Spring Security', 'Spring Data', 'Spring MVC', 'Docker', 'Kafka', 'SOLID', 'Lombok', 'MySQL', 'JavaScript', 'React', 'HTML', 'CSS']",relevant_high,False
779f3a59-206a-3241-adc4-d7db504f960b,"['Java', 'разработчик', 'команда', 'Инвестиции']",0b4d660e-1d57-33aa-991b-cc81394d1bd9,False,"['Java 11', 'Spring Boot', 'PostgreSQL', 'Maven', 'GitLab', 'Docker', 'Lombok', 'JUnit', 'Mockito', 'Swagger', 'Spring Security', 'MongoDB', 'Kafka']",no,False
779f3a59-206a-3241-adc4-d7db504f960b,"['Java', 'разработчик', 'команда', 'Инвестиции']",8196f47f-310f-3cbd-b40c-bc52c44a791e,True,"['Java', 'Spring Framework', 'Docker', 'PostgreSQL', 'Linux', 'MySQL', 'ООП', 'Git']",relevant_high,False
779f3a59-206a-3241-adc4-d7db504f960b,"['Java', 'разработчик', 'команда', 'Инвестиции']",02c0d043-72b0-35be-b21b-513d5a4c7bc8,True,"['Java EE', 'SQL', 'JDBC', 'Apache Maven', 'Git', 'JUnit', 'Mockito', 'Английский язык', 'Spring Framework', 'Spring MVC']",relevant_high,False
779f3a59-206a-3241-adc4-d7db504f960b,"['Java', 'разработчик', 'команда', 'Инвестиции']",2bfafd4b-592f-361e-a4d9-54472e4db85c,True,"['Java', 'Spring Framework', 'Hibernate ORM', 'SQL', 'JDBC', 'JUnit', 'MySQL', 'PostgreSQL', 'GitLab', 'MVC', 'Spring Security', 'Spring Boot', 'Maven', 'HTML', 'CSS', 'Bootstrap', 'REST', 'SOLID', 'ООП', 'Docker', 'Swagger']",relevant_high,False
